area,count,mean_ndvi,ndvi_zone,geometry
604478.7574182284,243,0.39041470306236087,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.31035294175312, 4.252175397379755], [36.31035294175312, 4.251726239737695], [36.30990378411106, 4.251726239737695], [36.30990378411106, 4.249929609169456], [36.309454626469, 4.249929609169456], [36.309454626469, 4.249480451527397], [36.30855631118488, 4.249480451527397], [36.30855631118488, 4.246336348032978], [36.30810715354282, 4.246336348032978], [36.30810715354282, 4.245438032748859], [36.3072088382587, 4.245438032748859], [36.3072088382587, 4.245887190390919], [36.306310522974584, 4.245887190390919], [36.306310522974584, 4.24409055982268], [36.305861365332525, 4.24409055982268], [36.305861365332525, 4.24364140218062], [36.3049630500484, 4.24364140218062], [36.3049630500484, 4.24319224453856], [36.30406473476428, 4.24319224453856], [36.30406473476428, 4.242743086896501], [36.30361557712222, 4.242743086896501], [36.30361557712222, 4.241395613970321], [36.30406473476428, 4.241395613970321], [36.30406473476428, 4.2409464563282615], [36.30451389240634, 4.2409464563282615], [36.30451389240634, 4.241395613970321], [36.3049630500484, 4.241395613970321], [36.3049630500484, 4.241844771612381], [36.306310522974584, 4.241844771612381], [36.306310522974584, 4.242293929254441], [36.30675968061664, 4.242293929254441], [36.30675968061664, 4.242743086896501], [36.30855631118488, 4.242743086896501], [36.30855631118488, 4.24319224453856], [36.30900546882694, 4.24319224453856], [36.30900546882694, 4.242743086896501], [36.309454626469, 4.242743086896501], [36.309454626469, 4.24319224453856], [36.30990378411106, 4.24319224453856], [36.30990378411106, 4.242743086896501], [36.31035294175312, 4.242743086896501], [36.31035294175312, 4.24319224453856], [36.31125125703724, 4.24319224453856], [36.31125125703724, 4.24364140218062], [36.3117004146793, 4.24364140218062], [36.3117004146793, 4.24319224453856], [36.31304788760548, 4.24319224453856], [36.31304788760548, 4.24364140218062], [36.314844518173715, 4.24364140218062], [36.314844518173715, 4.24409055982268], [36.31349704524754, 4.24409055982268], [36.31349704524754, 4.24453971746474], [36.31529367581578, 4.24453971746474], [36.31529367581578, 4.244988875106799], [36.31574283345784, 4.244988875106799], [36.31574283345784, 4.245438032748859], [36.31664114874196, 4.245438032748859], [36.31664114874196, 4.244988875106799], [36.31709030638402, 4.244988875106799], [36.31709030638402, 4.24453971746474], [36.317988621668135, 4.24453971746474], [36.317988621668135, 4.244988875106799], [36.318437779310194, 4.244988875106799], [36.318437779310194, 4.245887190390919], [36.318886936952254, 4.245887190390919], [36.318886936952254, 4.246336348032978], [36.31933609459431, 4.246336348032978], [36.31933609459431, 4.246785505675038], [36.31978525223637, 4.246785505675038], [36.31978525223637, 4.247234663317098], [36.31933609459431, 4.247234663317098], [36.31933609459431, 4.247683820959158], [36.318437779310194, 4.247683820959158], [36.318437779310194, 4.247234663317098], [36.317988621668135, 4.247234663317098], [36.317988621668135, 4.246785505675038], [36.317539464026076, 4.246785505675038], [36.317539464026076, 4.245887190390919], [36.31349704524754, 4.245887190390919], [36.31349704524754, 4.246336348032978], [36.314395360531655, 4.246336348032978], [36.314395360531655, 4.246785505675038], [36.31574283345784, 4.246785505675038], [36.31574283345784, 4.249031293885337], [36.318886936952254, 4.249031293885337], [36.318886936952254, 4.249929609169456], [36.317539464026076, 4.249929609169456], [36.317539464026076, 4.250378766811516], [36.31709030638402, 4.250378766811516], [36.31709030638402, 4.249480451527397], [36.31664114874196, 4.249480451527397], [36.31664114874196, 4.250378766811516], [36.3161919910999, 4.250378766811516], [36.3161919910999, 4.250827924453576], [36.31574283345784, 4.250827924453576], [36.31574283345784, 4.250378766811516], [36.31529367581578, 4.250378766811516], [36.31529367581578, 4.249929609169456], [36.314844518173715, 4.249929609169456], [36.314844518173715, 4.249480451527397], [36.313946202889596, 4.249480451527397], [36.313946202889596, 4.249929609169456], [36.31349704524754, 4.249929609169456], [36.31349704524754, 4.249480451527397], [36.313946202889596, 4.249480451527397], [36.313946202889596, 4.248132978601217], [36.31349704524754, 4.248132978601217], [36.31349704524754, 4.246785505675038], [36.31304788760548, 4.246785505675038], [36.31304788760548, 4.246336348032978], [36.31259872996342, 4.246336348032978], [36.31259872996342, 4.247234663317098], [36.31214957232136, 4.247234663317098], [36.31214957232136, 4.245887190390919], [36.3117004146793, 4.245887190390919], [36.3117004146793, 4.245438032748859], [36.31035294175312, 4.245438032748859], [36.31035294175312, 4.24453971746474], [36.30990378411106, 4.24453971746474], [36.30990378411106, 4.244988875106799], [36.309454626469, 4.244988875106799], [36.309454626469, 4.245438032748859], [36.30900546882694, 4.245438032748859], [36.30900546882694, 4.248132978601217], [36.309454626469, 4.248132978601217], [36.309454626469, 4.249480451527397], [36.30990378411106, 4.249480451527397], [36.30990378411106, 4.249929609169456], [36.31080209939518, 4.249929609169456], [36.31080209939518, 4.250378766811516], [36.31214957232136, 4.250378766811516], [36.31214957232136, 4.249929609169456], [36.31304788760548, 4.249929609169456], [36.31304788760548, 4.251277082095636], [36.31259872996342, 4.251277082095636], [36.31259872996342, 4.251726239737695], [36.3117004146793, 4.251726239737695], [36.3117004146793, 4.252175397379755], [36.31035294175312, 4.252175397379755]], [[36.30900546882694, 4.24409055982268], [36.3072088382587, 4.24409055982268], [36.3072088382587, 4.24364140218062], [36.30675968061664, 4.24364140218062], [36.30675968061664, 4.24319224453856], [36.30855631118488, 4.24319224453856], [36.30855631118488, 4.24364140218062], [36.30900546882694, 4.24364140218062], [36.30900546882694, 4.24409055982268]], [[36.31080209939518, 4.24453971746474], [36.31035294175312, 4.24453971746474], [36.31035294175312, 4.24409055982268], [36.31080209939518, 4.24409055982268], [36.31080209939518, 4.24453971746474]], [[36.318437779310194, 4.246785505675038], [36.317988621668135, 4.246785505675038], [36.317988621668135, 4.246336348032978], [36.318437779310194, 4.246336348032978], [36.318437779310194, 4.246785505675038]], [[36.31529367581578, 4.247683820959158], [36.314844518173715, 4.247683820959158], [36.314844518173715, 4.247234663317098], [36.31529367581578, 4.247234663317098], [36.31529367581578, 4.247683820959158]]]}"
154227.81146234853,62,0.38199695320769733,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.30810715354282, 4.256217816158293], [36.30810715354282, 4.255768658516233], [36.30765799590076, 4.255768658516233], [36.30765799590076, 4.254870343232113], [36.30675968061664, 4.254870343232113], [36.30675968061664, 4.254421185590054], [36.305861365332525, 4.254421185590054], [36.305861365332525, 4.254870343232113], [36.306310522974584, 4.254870343232113], [36.306310522974584, 4.255319500874173], [36.3049630500484, 4.255319500874173], [36.3049630500484, 4.254870343232113], [36.305412207690466, 4.254870343232113], [36.305412207690466, 4.253972027947994], [36.3049630500484, 4.253972027947994], [36.3049630500484, 4.253522870305934], [36.30451389240634, 4.253522870305934], [36.30451389240634, 4.253073712663875], [36.30361557712222, 4.253073712663875], [36.30361557712222, 4.252624555021815], [36.30316641948016, 4.252624555021815], [36.30316641948016, 4.252175397379755], [36.302717261838104, 4.252175397379755], [36.302717261838104, 4.251726239737695], [36.302268104196045, 4.251726239737695], [36.302268104196045, 4.249929609169456], [36.302717261838104, 4.249929609169456], [36.302717261838104, 4.250378766811516], [36.30316641948016, 4.250378766811516], [36.30316641948016, 4.249929609169456], [36.30361557712222, 4.249929609169456], [36.30361557712222, 4.250378766811516], [36.30406473476428, 4.250378766811516], [36.30406473476428, 4.251277082095636], [36.3049630500484, 4.251277082095636], [36.3049630500484, 4.251726239737695], [36.305861365332525, 4.251726239737695], [36.305861365332525, 4.252624555021815], [36.306310522974584, 4.252624555021815], [36.306310522974584, 4.253073712663875], [36.3072088382587, 4.253073712663875], [36.3072088382587, 4.252175397379755], [36.30765799590076, 4.252175397379755], [36.30765799590076, 4.253073712663875], [36.3072088382587, 4.253073712663875], [36.3072088382587, 4.254421185590054], [36.30765799590076, 4.254421185590054], [36.30765799590076, 4.253522870305934], [36.30810715354282, 4.253522870305934], [36.30810715354282, 4.254421185590054], [36.30855631118488, 4.254421185590054], [36.30855631118488, 4.255319500874173], [36.30810715354282, 4.255319500874173], [36.30810715354282, 4.255768658516233], [36.30855631118488, 4.255768658516233], [36.30855631118488, 4.256217816158293], [36.30810715354282, 4.256217816158293]], [[36.305412207690466, 4.253073712663875], [36.3049630500484, 4.253073712663875], [36.3049630500484, 4.252624555021815], [36.30451389240634, 4.252624555021815], [36.30451389240634, 4.251726239737695], [36.3049630500484, 4.251726239737695], [36.3049630500484, 4.252175397379755], [36.305412207690466, 4.252175397379755], [36.305412207690466, 4.253073712663875]]]}"
136816.05384323566,55,0.37880005088104063,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.32292935573079, 4.249031293885337], [36.32292935573079, 4.248582136243277], [36.32248019808873, 4.248582136243277], [36.32248019808873, 4.248132978601217], [36.322031040446674, 4.248132978601217], [36.322031040446674, 4.248582136243277], [36.321581882804615, 4.248582136243277], [36.321581882804615, 4.248132978601217], [36.322031040446674, 4.248132978601217], [36.322031040446674, 4.247683820959158], [36.3206835675205, 4.247683820959158], [36.3206835675205, 4.247234663317098], [36.32023440987844, 4.247234663317098], [36.32023440987844, 4.246336348032978], [36.31978525223637, 4.246336348032978], [36.31978525223637, 4.245887190390919], [36.32023440987844, 4.245887190390919], [36.32023440987844, 4.245438032748859], [36.3206835675205, 4.245438032748859], [36.3206835675205, 4.244988875106799], [36.32248019808873, 4.244988875106799], [36.32248019808873, 4.245438032748859], [36.32337851337285, 4.245438032748859], [36.32337851337285, 4.245887190390919], [36.32382767101491, 4.245887190390919], [36.32382767101491, 4.246336348032978], [36.32427682865697, 4.246336348032978], [36.32427682865697, 4.247234663317098], [36.324725986299036, 4.247234663317098], [36.324725986299036, 4.246785505675038], [36.325175143941095, 4.246785505675038], [36.325175143941095, 4.247683820959158], [36.325624301583154, 4.247683820959158], [36.325624301583154, 4.248132978601217], [36.32382767101491, 4.248132978601217], [36.32382767101491, 4.249031293885337], [36.32292935573079, 4.249031293885337]], [[36.32248019808873, 4.246785505675038], [36.321132725162556, 4.246785505675038], [36.321132725162556, 4.246336348032978], [36.321581882804615, 4.246336348032978], [36.321581882804615, 4.245438032748859], [36.322031040446674, 4.245438032748859], [36.322031040446674, 4.245887190390919], [36.32248019808873, 4.245887190390919], [36.32248019808873, 4.246785505675038]], [[36.32292935573079, 4.247234663317098], [36.32248019808873, 4.247234663317098], [36.32248019808873, 4.246785505675038], [36.32292935573079, 4.246785505675038], [36.32292935573079, 4.247234663317098]], [[36.32337851337285, 4.248582136243277], [36.32292935573079, 4.248582136243277], [36.32292935573079, 4.248132978601217], [36.32337851337285, 4.248132978601217], [36.32337851337285, 4.248582136243277]]]}"
111941.14785192243,45,0.3685966764344793,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.31529367581578, 4.24364140218062], [36.31529367581578, 4.24319224453856], [36.31574283345784, 4.24319224453856], [36.31574283345784, 4.242293929254441], [36.3161919910999, 4.242293929254441], [36.3161919910999, 4.241395613970321], [36.31574283345784, 4.241395613970321], [36.31574283345784, 4.2404972986862015], [36.31664114874196, 4.2404972986862015], [36.31664114874196, 4.2409464563282615], [36.31709030638402, 4.2409464563282615], [36.31709030638402, 4.2404972986862015], [36.317539464026076, 4.2404972986862015], [36.317539464026076, 4.241395613970321], [36.317988621668135, 4.241395613970321], [36.317988621668135, 4.2404972986862015], [36.318886936952254, 4.2404972986862015], [36.318886936952254, 4.241395613970321], [36.3206835675205, 4.241395613970321], [36.3206835675205, 4.241844771612381], [36.321132725162556, 4.241844771612381], [36.321132725162556, 4.242293929254441], [36.318886936952254, 4.242293929254441], [36.318886936952254, 4.242743086896501], [36.318437779310194, 4.242743086896501], [36.318437779310194, 4.24319224453856], [36.3161919910999, 4.24319224453856], [36.3161919910999, 4.24364140218062], [36.31529367581578, 4.24364140218062]], [[36.317539464026076, 4.241844771612381], [36.31709030638402, 4.241844771612381], [36.31709030638402, 4.241395613970321], [36.317539464026076, 4.241395613970321], [36.317539464026076, 4.241844771612381]], [[36.31709030638402, 4.242293929254441], [36.31664114874196, 4.242293929254441], [36.31664114874196, 4.241844771612381], [36.31709030638402, 4.241844771612381], [36.31709030638402, 4.242293929254441]]]}"
94529.88291582357,38,0.3599873530770907,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.31125125703724, 4.229717515276767], [36.31125125703724, 4.229268357634707], [36.31035294175312, 4.229268357634707], [36.31035294175312, 4.228819199992648], [36.30900546882694, 4.228819199992648], [36.30900546882694, 4.227920884708528], [36.30810715354282, 4.227920884708528], [36.30810715354282, 4.227471727066469], [36.30675968061664, 4.227471727066469], [36.30675968061664, 4.227022569424409], [36.305861365332525, 4.227022569424409], [36.305861365332525, 4.226573411782349], [36.302268104196045, 4.226573411782349], [36.302268104196045, 4.226124254140289], [36.302717261838104, 4.226124254140289], [36.302717261838104, 4.22567509649823], [36.30316641948016, 4.22567509649823], [36.30316641948016, 4.226124254140289], [36.305861365332525, 4.226124254140289], [36.305861365332525, 4.22522593885617], [36.306310522974584, 4.22522593885617], [36.306310522974584, 4.226124254140289], [36.30765799590076, 4.226124254140289], [36.30765799590076, 4.226573411782349], [36.3072088382587, 4.226573411782349], [36.3072088382587, 4.227022569424409], [36.30855631118488, 4.227022569424409], [36.30855631118488, 4.227471727066469], [36.30990378411106, 4.227471727066469], [36.30990378411106, 4.227920884708528], [36.31080209939518, 4.227920884708528], [36.31080209939518, 4.228370042350588], [36.31035294175312, 4.228370042350588], [36.31035294175312, 4.228819199992648], [36.3117004146793, 4.228819199992648], [36.3117004146793, 4.229268357634707], [36.31214957232136, 4.229268357634707], [36.31214957232136, 4.229717515276767], [36.31125125703724, 4.229717515276767]]]}"
92038.53659622224,37,0.3684825921145207,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.314395360531655, 4.260260234936831], [36.314395360531655, 4.2593619196527115], [36.313946202889596, 4.2593619196527115], [36.313946202889596, 4.2589127620106515], [36.31349704524754, 4.2589127620106515], [36.31349704524754, 4.2584636043685915], [36.31259872996342, 4.2584636043685915], [36.31259872996342, 4.257565289084472], [36.3117004146793, 4.257565289084472], [36.3117004146793, 4.258014446726532], [36.31214957232136, 4.258014446726532], [36.31214957232136, 4.2589127620106515], [36.31259872996342, 4.2589127620106515], [36.31259872996342, 4.2598110772947715], [36.3117004146793, 4.2598110772947715], [36.3117004146793, 4.2593619196527115], [36.31125125703724, 4.2593619196527115], [36.31125125703724, 4.260260234936831], [36.31035294175312, 4.260260234936831], [36.31035294175312, 4.2598110772947715], [36.31080209939518, 4.2598110772947715], [36.31080209939518, 4.2589127620106515], [36.31125125703724, 4.2589127620106515], [36.31125125703724, 4.258014446726532], [36.31035294175312, 4.258014446726532], [36.31035294175312, 4.257565289084472], [36.30990378411106, 4.257565289084472], [36.30990378411106, 4.256666973800352], [36.309454626469, 4.256666973800352], [36.309454626469, 4.256217816158293], [36.30900546882694, 4.256217816158293], [36.30900546882694, 4.255768658516233], [36.309454626469, 4.255768658516233], [36.309454626469, 4.255319500874173], [36.30990378411106, 4.255319500874173], [36.30990378411106, 4.255768658516233], [36.309454626469, 4.255768658516233], [36.309454626469, 4.256217816158293], [36.31080209939518, 4.256217816158293], [36.31080209939518, 4.256666973800352], [36.31125125703724, 4.256666973800352], [36.31125125703724, 4.257116131442412], [36.31035294175312, 4.257116131442412], [36.31035294175312, 4.257565289084472], [36.3117004146793, 4.257565289084472], [36.3117004146793, 4.257116131442412], [36.31259872996342, 4.257116131442412], [36.31259872996342, 4.257565289084472], [36.31304788760548, 4.257565289084472], [36.31304788760548, 4.258014446726532], [36.313946202889596, 4.258014446726532], [36.313946202889596, 4.2584636043685915], [36.314395360531655, 4.2584636043685915], [36.314395360531655, 4.2593619196527115], [36.314844518173715, 4.2593619196527115], [36.314844518173715, 4.2598110772947715], [36.31529367581578, 4.2598110772947715], [36.31529367581578, 4.260260234936831], [36.314395360531655, 4.260260234936831]]]}"
74626.47190329713,30,0.38498450673204837,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.32337851337285, 4.253073712663875], [36.32337851337285, 4.252624555021815], [36.32292935573079, 4.252624555021815], [36.32292935573079, 4.252175397379755], [36.32248019808873, 4.252175397379755], [36.32248019808873, 4.251726239737695], [36.322031040446674, 4.251726239737695], [36.322031040446674, 4.251277082095636], [36.321581882804615, 4.251277082095636], [36.321581882804615, 4.252624555021815], [36.3206835675205, 4.252624555021815], [36.3206835675205, 4.251726239737695], [36.321132725162556, 4.251726239737695], [36.321132725162556, 4.251277082095636], [36.3206835675205, 4.251277082095636], [36.3206835675205, 4.250378766811516], [36.322031040446674, 4.250378766811516], [36.322031040446674, 4.250827924453576], [36.32382767101491, 4.250827924453576], [36.32382767101491, 4.252175397379755], [36.32337851337285, 4.252175397379755], [36.32337851337285, 4.252624555021815], [36.324725986299036, 4.252624555021815], [36.324725986299036, 4.252175397379755], [36.325624301583154, 4.252175397379755], [36.325624301583154, 4.253073712663875], [36.32337851337285, 4.253073712663875]]]}"
69653.51842393931,28,0.38985034036817406,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.325624301583154, 4.231064988202946], [36.325624301583154, 4.230615830560887], [36.325175143941095, 4.230615830560887], [36.325175143941095, 4.230166672918827], [36.324725986299036, 4.230166672918827], [36.324725986299036, 4.229268357634707], [36.32427682865697, 4.229268357634707], [36.32427682865697, 4.227471727066469], [36.32292935573079, 4.227471727066469], [36.32292935573079, 4.227022569424409], [36.32248019808873, 4.227022569424409], [36.32248019808873, 4.227471727066469], [36.322031040446674, 4.227471727066469], [36.322031040446674, 4.227022569424409], [36.321132725162556, 4.227022569424409], [36.321132725162556, 4.226573411782349], [36.3206835675205, 4.226573411782349], [36.3206835675205, 4.226124254140289], [36.32248019808873, 4.226124254140289], [36.32248019808873, 4.226573411782349], [36.32427682865697, 4.226573411782349], [36.32427682865697, 4.227022569424409], [36.324725986299036, 4.227022569424409], [36.324725986299036, 4.227920884708528], [36.325175143941095, 4.227920884708528], [36.325175143941095, 4.229717515276767], [36.325624301583154, 4.229717515276767], [36.325624301583154, 4.230615830560887], [36.32607345922521, 4.230615830560887], [36.32607345922521, 4.231064988202946], [36.325624301583154, 4.231064988202946]]]}"
69652.34427689694,28,0.4226045130910968,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.32292935573079, 4.242293929254441], [36.32292935573079, 4.241844771612381], [36.322031040446674, 4.241844771612381], [36.322031040446674, 4.241395613970321], [36.32248019808873, 4.241395613970321], [36.32248019808873, 4.2409464563282615], [36.324725986299036, 4.2409464563282615], [36.324725986299036, 4.2400481410441415], [36.325175143941095, 4.2400481410441415], [36.325175143941095, 4.2404972986862015], [36.325624301583154, 4.2404972986862015], [36.325624301583154, 4.2409464563282615], [36.32607345922521, 4.2409464563282615], [36.32607345922521, 4.241844771612381], [36.32652261686727, 4.241844771612381], [36.32652261686727, 4.242293929254441], [36.32292935573079, 4.242293929254441]]]}"
67163.54974874503,27,0.36305538456291764,1,"{'geodesic': False, 'type': 'Polygon', 'coordinates': [[[36.318886936952254, 4.256666973800352], [36.318886936952254, 4.254870343232113], [36.318437779310194, 4.254870343232113], [36.318437779310194, 4.255319500874173], [36.317539464026076, 4.255319500874173], [36.317539464026076, 4.256666973800352], [36.31709030638402, 4.256666973800352], [36.31709030638402, 4.256217816158293], [36.31664114874196, 4.256217816158293], [36.31664114874196, 4.255319500874173], [36.31709030638402, 4.255319500874173], [36.31709030638402, 4.254421185590054], [36.317539464026076, 4.254421185590054], [36.317539464026076, 4.253972027947994], [36.31709030638402, 4.253972027947994], [36.31709030638402, 4.253073712663875], [36.317988621668135, 4.253073712663875], [36.317988621668135, 4.254870343232113], [36.318437779310194, 4.254870343232113], [36.318437779310194, 4.253972027947994], [36.31933609459431, 4.253972027947994], [36.31933609459431, 4.253522870305934], [36.31978525223637, 4.253522870305934], [36.31978525223637, 4.254870343232113], [36.31933609459431, 4.254870343232113], [36.31933609459431, 4.256217816158293], [36.31978525223637, 4.256217816158293], [36.31978525223637, 4.256666973800352], [36.318886936952254, 4.256666973800352]]]}"
